Designator,Mid X,Mid Y,Rotation,Layer
C1,75.1641,-39.29145,180.0,top
C10,89.1456,-28.5242,180.0,top
C11,89.1456,-31.8516,180.0,top
C12,89.1262,-35.179,180.0,top
C13,89.1262,-38.5064,180.0,top
C14,89.1262,-41.8338,180.0,top
C2,75.1641,-29.76625,180.0,top
C3,70.4015,-39.29145,0.0,top
C4,50.0073,-27.6568,90.0,top
C5,51.3511,-39.41015,180.0,top
C6,65.6389,-23.9317,0.0,top
C7,58.495,-42.8634,0.0,top
C8,62.9513,-44.05405,315.0,top
C9,89.1456,-25.1968,180.0,top
D1,31.7632,-59.53125,180.0,bottom
D10,69.92965,-97.6333,180.0,bottom
D11,31.7632,-116.6837,180.0,bottom
D12,50.87925,-116.6837,180.0,bottom
D13,69.864,-116.6837,180.0,bottom
D14,31.82885,-135.7341,180.0,bottom
D15,50.8136,-135.7341,180.0,bottom
D16,69.864,-135.7341,180.0,bottom
D17,88.9144,-88.1081,180.0,bottom
D18,88.9144,-126.2089,180.0,bottom
D2,50.8136,-59.5325,180.0,bottom
D3,69.864,-59.5325,180.0,bottom
D4,88.9144,-59.5325,180.0,bottom
D5,31.7632,-78.5829,180.0,bottom
D6,50.8136,-78.5829,180.0,bottom
D7,69.864,-78.5829,180.0,bottom
D8,31.7632,-97.6333,180.0,bottom
D9,50.8136,-97.6333,180.0,bottom
J1,32.14755,-23.0643,180.0,top
K1,31.835,-54.78125,0.0,top
K10,69.935,-92.88125,0.0,top
K11,31.835,-111.93125,0.0,top
K12,50.885,-111.93125,0.0,top
K13,69.935,-111.93125,0.0,top
K14,31.835,-130.98125,0.0,top
K15,50.885,-130.98125,0.0,top
K16,69.935,-130.98125,0.0,top
K17,88.985,-83.35625,0.0,top
K18,88.985,-121.45625,0.0,top
K2,50.885,-54.78125,0.0,top
K3,69.935,-54.78125,0.0,top
K4,88.985,-54.78125,0.0,top
K5,31.835,-73.83125,0.0,top
K6,50.885,-73.83125,0.0,top
K7,69.935,-73.83125,0.0,top
K8,31.835,-92.88125,0.0,top
K9,50.885,-92.88125,0.0,top
LED1,92.4707,-25.18745,0.0,top
LED2,92.4707,-28.5158,0.0,top
LED3,92.4707,-31.84415,0.0,top
LED4,92.4707,-35.1725,0.0,top
LED5,92.4707,-38.50085,0.0,top
LED6,92.4707,-41.8292,0.0,top
PWRLED1,48.198179,-34.551821,45.0,top
R1,69.24835,-42.8634,180.0,top
R2,55.96055,-23.813,0.0,top
R3,39.29145,-25.00365,90.0,top
R4,27.5756,-30.9569,0.0,top
R5,34.52885,-39.29145,315.0,top
R6,36.91015,-36.91015,315.0,top
SW1,81.67355,-26.61625,90.0,top
U1,60.74185,-33.71015,0.0,top
XTAL1,75.01095,-34.52885,45.0,top
